page,Country,Genre,Released,imdbRating,Runtime,Language,Type,imdbVotes
TheCape,USA,"Action, Drama",09 Jan 2011,5.8,60 min,English,series,"7,444"
DreamHigh,South Korea,"Comedy, Music, Romance",31 Jul 2011,7.9,N/A,Korean,series,717
TheVicarOfDibley,UK,Comedy,10 Nov 1994,8.0,60 min,English,series,"7,136"
HappyDays,USA,"Comedy, Family, Music",15 Jan 1974,7.5,30 min,English,series,"10,061"
GlasgowKiss,UK,N/A,25 Jul 2000,8.7,50 min,English,series,70
ILoveLucy,USA,"Comedy, Family",15 Oct 1951,8.5,30 min,"English, Spanish",series,"14,137"
KirRoyal,West Germany,Comedy,22 Sep 1986,8.3,60 min,German,series,423
Blackadder,UK,"Comedy, War",28 Sep 1989,8.9,175 min,English,series,"25,622"
CSI,USA,"Action, Crime, Drama",23 Sep 2002,6.4,43 min,"English, Spanish, Greek",series,"40,908"
ChildsPlay,UK,"Documentary, Short, Comedy",N/A,5.3,3 min,English,movie,6
ThankGodYoureHere,Australia,"Comedy, Game-Show",05 Apr 2006,8.2,60 min,English,series,700
SlingsAndArrows,Canada,Comedy,03 Nov 2003,8.9,60 min,English,series,"1,932"
Botineras,Argentina,N/A,24 Nov 2009,6.6,60 min,Spanish,series,60
DinoLab,Georgia,"Short, Drama",N/A,7.3,15 min,Georgian,movie,12
PJKatiesFarm,N/A,"Animation, Adventure, Comedy, Family, Fantasy",N/A,7.8,N/A,N/A,episode,14
Caprica,"Canada, USA","Action, Drama, Sci-Fi",22 Jan 2010,7.1,60 min,"English, Greek",series,"19,385"
CrashCourse,USA,Comedy,17 Jan 1988,5.3,95 min,English,movie,316
FamilyMatters,USA,"Comedy, Drama, Family",22 Sep 1989,6.5,30 min,English,series,"16,517"
AmericasFunniestHomeVideos,USA,"Comedy, Family, Reality-TV",26 Nov 1989,6.3,30 min,English,series,"3,293"
PardonTheInterruption,USA,"Sport, Talk-Show",22 Oct 2001,8.7,30 min,English,series,"1,166"
TheApprentice,USA,"Game-Show, Reality-TV",08 Jan 2004,5.5,60 min,English,series,"5,626"
Raines,USA,"Crime, Drama",15 Mar 2007,7.9,45 min,English,series,"1,803"
TheMaryTylerMooreShow,USA,"Comedy, Documentary",24 Sep 2002,7.7,88 min,English,movie,23
Alias,USA,"Action, Drama, Mystery",30 Sep 2001,7.6,42 min,"English, Bulgarian, Arabic, Cantonese, French, German, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Portuguese, Romanian, Russian, Spanish, Thai, Ukrainian, Uzbek, Dutch",series,"35,354"
JamesMaysManLab,UK,Documentary,31 Oct 2010,7.8,60 min,English,series,567
BandOfBrothers,"UK, USA","Action, Drama, History",09 Sep 2001,9.6,705 min,"English, Dutch, French, German, Lithuanian",series,"183,802"
TheAdventuresOfRobinHood,USA,"Action, Adventure, Romance",14 May 1938,8.0,102 min,English,movie,"36,789"
HouseOfLies,USA,"Comedy, Drama",08 Jan 2012,7.4,28 min,English,series,"18,172"
RiverMonsters,USA,Documentary,05 Apr 2009,8.2,N/A,English,series,"2,851"
ThisHourHas22Minutes,Canada,Comedy,N/A,6.5,N/A,English,series,546
Touch,USA,"Drama, Mystery, Sci-Fi",25 Jan 2012,7.4,43 min,English,series,"36,470"
TheLikelyLads,UK,Comedy,02 Apr 1976,6.7,90 min,English,movie,609
WKRPInCincinnati,USA,Comedy,18 Sep 1978,8.1,30 min,English,series,"4,419"
DiffrentStrokes,USA,"Comedy, Drama, Family",03 Nov 1978,6.7,30 min,English,series,"5,921"
GrangeHill,UK,"Comedy, Drama, Family",08 Feb 1978,7.2,30 min,English,series,559
DeathInParadise,"UK, France","Crime, Drama, Mystery",N/A,8.0,60 min,English,series,"4,950"
SoRandom,USA,"Comedy, Drama, Musical",05 Jun 2011,4.7,22 min,English,series,"1,613"
EverybodyLovesRaymond,USA,Comedy,13 Sep 1996,7.1,22 min,English,series,"46,694"
SavedByTheBell,USA,Comedy,20 Aug 1989,7.0,30 min,English,series,"23,414"
Whammy,USA,"Comedy, Crime, Drama",03 Aug 2001,5.7,93 min,English,movie,"3,001"
TheFades,UK,"Fantasy, Horror",21 Sep 2011,7.9,55 min,English,series,"4,650"
TrueLife,USA,Documentary,31 Mar 1998,7.7,60 min,English,series,856
Arliss,USA,Family,N/A,N/A,N/A,English,movie,N/A
Stingray,UK,"Family, Sci-Fi",02 Jan 1965,7.6,30 min,English,series,473
RestaurantImpossible,USA,Reality-TV,19 Jan 2011,7.1,60 min,English,series,"1,043"
MASH,USA,"Comedy, Drama, War",17 Sep 1972,8.5,25 min,English,series,"29,916"
FatherTed,UK,Comedy,21 Apr 1995,8.7,25 min,English,series,"22,257"
Boris,Italy,Comedy,16 Apr 2007,8.6,23 min,Italian,series,"1,058"
AttackOfTheShow,USA,News,28 Mar 2005,7.7,60 min,English,series,"1,923"
Jeremiah,"USA, Canada","Action, Drama, Sci-Fi",03 Mar 2002,6.9,45 min,English,series,"3,572"
TheArsenioHallShow,USA,"Comedy, Family, Music",03 Jan 1989,6.2,60 min,English,series,567
DickAndDomInDaBungalow,UK,"Comedy, Family, Game-Show",31 Aug 2002,7.2,120 min,English,series,172
Cheers,USA,"Comedy, Drama",30 Sep 1982,7.8,22 min,English,series,"30,909"
DirkGently,UK,"Comedy, Crime, Sci-Fi",05 Mar 2012,7.8,58 min,English,series,"1,268"
EinHerzUndEineSeele,West Germany,Comedy,15 Jan 1973,8.8,45 min,German,series,448
SecondChance,USA,"Crime, Drama, Film-Noir",18 Jul 1953,6.1,82 min,"English, Spanish",movie,582
Wings,USA,"Drama, Romance, War",05 Jan 1929,7.8,144 min,English,movie,"7,196"
KnightRider,USA,"Action, Crime, Sci-Fi",26 Sep 1982,6.9,46 min,English,series,"18,686"
Smash,USA,"Drama, Musical",06 Feb 2012,7.6,44 min,English,series,"14,177"
MonstersResurrected,USA,Documentary,03 Dec 2009,5.8,N/A,English,series,39
TheHitchhikersGuideToTheGalaxy,"USA, UK","Adventure, Comedy, Sci-Fi",29 Apr 2005,6.8,109 min,English,movie,"145,140"
TheGame,USA,"Drama, Mystery, Thriller",12 Sep 1997,7.8,129 min,"English, Cantonese, German",movie,"237,963"
NewGirl,USA,Comedy,20 Sep 2011,7.8,30 min,English,series,"120,840"
Roar,USA,"Action, Adventure, Fantasy",14 Jul 1997,7.5,60 min,English,series,886
TerraNova,"Australia, USA","Adventure, Mystery, Sci-Fi",26 Sep 2011,6.8,46 min,English,series,"65,598"
TheBigBangTheory,USA,Comedy,24 Sep 2007,8.5,22 min,"English, Hindi, Italian, Russian, Mandarin, Klingon",series,"470,073"
Danger5,USA,"Action, Crime, Drama",03 Aug 1994,6.9,141 min,English,movie,"64,538"
WildBoys,Australia,"Adventure, Drama, Western",04 Sep 2011,7.3,60 min,English,series,322
Spaced,UK,Comedy,24 Sep 1999,8.7,25 min,English,series,"36,292"
TheFactsOfLife,USA,Comedy,24 Aug 1979,6.7,30 min,English,series,"3,551"
Taxi,France,"Action, Comedy, Crime",20 Nov 1998,6.9,86 min,"French, German, Korean, Portuguese",movie,"57,413"
YouHaveBeenWatching,UK,"Comedy, Game-Show",07 Jul 2009,7.7,37 min,English,series,387
ManAboutTheHouse,UK,Comedy,15 Aug 1973,7.4,30 min,English,series,534
Mastermind,UK,Game-Show,11 Sep 1972,6.7,30 min,English,series,141
FridayNightLights,USA,"Action, Drama, Sport",08 Oct 2004,7.3,118 min,English,movie,"43,243"
Mawang,South Korea,"Drama, Mystery, Thriller",21 Mar 2007,8.4,70 min,Korean,series,44
InspectorLynley,UK,"Crime, Drama, Mystery",12 Mar 2001,7.4,90 min,English,series,"2,505"
FairlyLegal,USA,"Comedy, Drama",20 Jan 2011,7.3,41 min,English,series,"6,737"
WhaleWars,USA,"Documentary, Reality-TV",07 Nov 2008,6.0,60 min,English,series,"1,956"
RobotWars,USA,"Action, Sci-Fi",28 Apr 1993,4.0,69 min,English,movie,662
TheFlash,USA,"Action, Adventure, Drama",07 Oct 2014,8.3,43 min,English,series,"108,861"
Frontline,USA,Documentary,17 Jan 1983,8.6,60 min,English,series,774
YoSoyBettyLaFea,Colombia,"Comedy, Drama",25 Oct 1999,8.0,30 min,Spanish,series,"1,124"
ArmyWives,USA,Drama,01 Mar 2007,7.2,60 min,English,series,"5,180"
StormChasers,USA,"Documentary, Reality-TV",17 Oct 2007,7.4,N/A,English,series,677
TheMightyBoosh,UK,"Comedy, Fantasy, Musical",18 May 2004,8.4,30 min,English,series,"14,753"
Highlander,UK,"Action, Adventure, Fantasy",07 Mar 1986,7.2,116 min,English,movie,"91,766"
FamilyAffair,USA,"Comedy, Family",12 Sep 1966,6.8,30 min,English,series,"1,186"
AfterschoolSpecial,USA,"Short, Drama",N/A,N/A,12 min,English,movie,N/A
Newhart,USA,Comedy,25 Oct 1982,7.8,30 min,English,series,"3,026"
SeventhHeaven,USA,"Drama, Romance",25 Mar 1937,6.9,102 min,English,movie,386
ArchieBunkersPlace,USA,Comedy,23 Sep 1979,6.3,60 min,English,series,488
GarthMarenghisDarkplace,UK,"Comedy, Horror",29 Jan 2004,8.6,30 min,English,series,"10,386"
DirtyJobs,USA,Reality-TV,19 Jul 2005,7.9,60 min,English,series,"6,317"
LoisAndClark,USA,Short,07 Jun 2005,N/A,26 min,English,movie,N/A
ShadowChasers,USA,"Fantasy, Mystery",14 Nov 1985,7.7,60 min,English,series,43
BombGirls,Canada,"Drama, War",11 Sep 2012,7.9,60 min,English,series,"2,856"
Desmonds,UK,Comedy,05 Jan 1989,7.8,50 min,English,series,367
Batman,"USA, UK","Action, Adventure",23 Jun 1989,7.6,126 min,"English, French",movie,"246,305"
ImInTheBand,USA,Comedy,01 Oct 2009,6.6,30 min,English,series,"1,240"
Clue,USA,"Comedy, Crime, Mystery",13 Dec 1985,7.3,94 min,"English, French",movie,"53,057"
LieToMe,USA,"Crime, Drama, Mystery",21 Jan 2009,8.0,43 min,English,series,"81,155"
QuantumLeap,USA,"Action, Adventure, Drama",26 Mar 1989,8.1,60 min,English,series,"18,876"
Whites,UK,Comedy,28 Sep 2010,7.7,30 min,English,series,"1,048"
AllInTheFamily,USA,"Comedy, Drama",12 Jan 1971,8.4,30 min,English,series,"8,239"
TheListener,Canada,"Crime, Drama, Fantasy",04 Jun 2009,6.8,42 min,English,series,"6,232"
Suburgatory,USA,Comedy,28 Sep 2011,7.3,22 min,English,series,"25,088"
MaxHeadroom,USA,"Comedy, Sci-Fi",31 Mar 1987,7.4,60 min,English,series,"1,539"
StargateAtlantis,"Canada, USA","Action, Drama, Sci-Fi",16 Jul 2004,8.1,44 min,"English, Czech",series,"44,804"
Terriers,USA,"Crime, Drama, Mystery",08 Sep 2010,8.6,N/A,"English, Spanish",series,"7,531"
AlloAllo,UK,"Comedy, War",30 Dec 1982,8.4,45 min,English,series,"15,734"
Titanic,USA,"Drama, Romance",19 Dec 1997,7.7,194 min,"English, French, German, Swedish, Italian, Russian",movie,"716,392"
DaVincisInquest,Canada,"Crime, Mystery, Drama",07 Oct 1998,8.1,44 min,English,series,832
FranklinAndBash,USA,"Comedy, Crime",01 Jun 2011,7.7,60 min,English,series,"11,501"
TheCollector,USA,"Horror, Thriller",31 Jul 2009,6.4,90 min,English,movie,"39,506"
FearItself,"Canada, USA",Horror,05 Jun 2008,7.0,43 min,English,series,"3,308"
Becker,USA,Comedy,02 Nov 1998,7.3,30 min,English,series,"8,955"
ParkerLewisCantLose,USA,Comedy,02 Sep 1990,8.0,30 min,English,series,"3,466"
HeilHoneyImHome,UK,Comedy,30 Sep 1990,5.5,30 min,English,series,218
ConnorUndercover,Canada,Family,N/A,6.5,N/A,English,series,106
Sanctuary,Canada,"Drama, Fantasy, Mystery",03 Oct 2008,7.4,44 min,English,series,"13,752"
Zen,"UK, Italy, Germany","Crime, Drama, Mystery",17 Jul 2011,7.9,270 min,English,series,"2,346"
BaitCar,USA,"Crime, Reality-TV",01 Aug 2009,5.9,30 min,English,series,140
Chef,USA,"Adventure, Comedy, Drama",30 May 2014,7.3,114 min,"English, Spanish",movie,"114,046"
MamasFamily,USA,Comedy,22 Jan 1983,7.2,30 min,English,series,"2,643"
HardyBoysNancyDrewMysteries,USA,"Family, Mystery",30 Jan 1977,7.5,60 min,English,series,805
Extras,"UK, USA","Comedy, Drama",25 Sep 2005,8.5,30 min,English,series,"35,533"
HorribleHistories,UK,"Comedy, Family, History",01 Apr 2009,8.8,N/A,English,series,"1,781"
TheLeagueOfGentlemen,UK,"Comedy, Horror",19 Jun 2000,8.5,60 min,English,series,"5,144"
TheOldGuys,UK,Comedy,N/A,7.2,N/A,English,series,243
BizarreDinosaurs,USA,Documentary,11 Oct 2009,6.5,N/A,English,movie,42
LostInSpace,USA,"Action, Adventure, Family",03 Apr 1998,5.1,130 min,English,movie,"55,703"
OffCentre,USA,Comedy,14 Oct 2001,8.0,30 min,English,series,"1,715"
NedsDeclassifiedSchoolSurvivalGuide,"USA, Germany","Comedy, Family",12 Sep 2004,7.4,22 min,"English, Spanish, Dutch, Portuguese",series,"10,595"
LandOfTheLost,USA,"Adventure, Comedy, Sci-Fi",05 Jun 2009,5.3,102 min,English,movie,"49,013"
AnnaUndDieLiebe,Germany,"Drama, Romance",25 Aug 2008,2.7,22 min,German,series,175
Suits,USA,"Comedy, Drama",23 Jun 2011,8.8,44 min,English,series,"200,153"
TheAndyGriffithShow,USA,"Comedy, Family",03 Oct 1960,8.3,30 min,English,series,"7,269"
ItsGarryShandlingsShow,USA,Comedy,10 Sep 1986,7.7,30 min,English,series,606
TakeshisCastle,"Japan, UK","Comedy, Family, Game-Show",09 Nov 2002,8.1,N/A,"English, Japanese",series,908
Portlandia,USA,Comedy,21 Jan 2011,7.8,22 min,English,series,"11,369"
TheMunsters,USA,"Comedy, Family, Fantasy",24 Sep 1964,8.0,30 min,English,series,"6,547"
CanadasWorstDriver,Canada,"Documentary, Comedy",01 Sep 2005,7.9,46 min,English,series,208
TheAdventuresOfSuperboy,USA,"Action, Short",N/A,7.7,26 min,English,movie,82
ZekeAndLuther,USA,"Action, Adventure, Comedy",15 Jun 2009,6.2,30 min,English,series,"1,459"
Kingdom,USA,Drama,N/A,8.4,43 min,English,series,"3,040"
Storylords,USA,Family,N/A,N/A,15 min,English,movie,N/A
TokumeiSentaiGoBusters,Japan,"Action, Adventure, Drama",26 Feb 2012,7.8,25 min,Japanese,series,44
LuckyLouie,USA,Comedy,11 Jun 2006,8.1,30 min,English,series,"7,221"
StarTrekEnterprise,USA,"Action, Adventure, Drama",26 Sep 2001,7.5,60 min,"English, Klingon",series,"26,900"
TilDeath,USA,Horror,01 Jan 2014,N/A,N/A,English,movie,N/A
Awake,USA,"Crime, Mystery, Thriller",30 Nov 2007,6.5,84 min,"English, Japanese",movie,"60,057"
TheSarahJaneAdventures,UK,"Drama, Family, Sci-Fi",01 Jan 2007,7.6,60 min,English,series,"2,886"
TinMan,USA,"Adventure, Fantasy, Sci-Fi",02 Dec 2007,7.2,270 min,English,series,"11,134"
Stromberg,Germany,Comedy,11 Oct 2004,8.4,N/A,German,series,"4,544"
WinBenSteinsMoney,USA,"Comedy, Game-Show",30 Jul 1997,6.9,30 min,English,series,599
YouCantDoThatOnTelevision,Canada,"Family, Comedy",03 Feb 1979,8.2,30 min,English,series,"1,014"
Campion,UK,"Adventure, Crime, Drama",12 Oct 1989,7.7,50 min,English,series,422
Luther,UK,"Crime, Drama, Mystery",17 Oct 2010,8.6,60 min,English,series,"53,740"
TorchwoodMiracleDay,"UK, Canada","Action, Drama, Sci-Fi",22 Oct 2006,7.8,50 min,English,series,"31,997"
TheGirlFromUNCLE,USA,"Action, Adventure",13 Sep 1966,7.0,60 min,English,series,258
Pramface,UK,Comedy,23 Feb 2012,7.8,N/A,English,series,"1,604"
Tatort,"West Germany, Austria","Crime, Drama",29 Nov 1970,7.3,90 min,German,series,"1,466"
BeingHuman,"Canada, USA","Drama, Fantasy, Horror",17 Jan 2011,7.5,44 min,English,series,"20,269"
WarOfTheWorlds,USA,"Adventure, Sci-Fi, Thriller",29 Jun 2005,6.5,116 min,English,movie,"308,049"
Malparida,Argentina,N/A,20 Apr 2010,5.1,N/A,Spanish,series,32
Scattergories,USA,"Family, Game-Show",18 Jan 1993,N/A,30 min,N/A,series,N/A
TheNormShow,USA,Comedy,24 Mar 1999,8.0,30 min,English,series,"1,154"
Torchwood,"UK, Canada","Action, Drama, Sci-Fi",22 Oct 2006,7.8,50 min,English,series,"31,997"
NightGallery,USA,"Drama, Fantasy, Horror",16 Dec 1970,8.1,50 min,English,series,"2,734"
DadsArmy,UK,Comedy,05 Feb 2016,N/A,N/A,English,movie,N/A
RandallAndHopkirkDeceased,UK,"Comedy, Crime, Fantasy",18 Mar 2000,6.7,50 min,English,series,404
SweetGenius,USA,Reality-TV,22 Sep 2011,6.9,60 min,English,series,134
DiagnosisMurder,USA,"Crime, Mystery, Drama",29 Oct 1993,6.8,60 min,English,series,"3,903"
AfterLately,USA,Comedy,06 Mar 2011,7.0,N/A,English,series,445
EverybodyHatesChris,USA,Comedy,22 Sep 2005,7.3,22 min,English,series,"25,705"
SeeingThings,Canada,"Comedy, Mystery",15 Sep 1981,8.1,N/A,English,series,100
TopGearUS,UK,"Comedy, Talk-Show",20 Oct 2002,8.9,60 min,English,series,"63,122"
Seinfeld,USA,Comedy,31 May 1990,8.9,22 min,English,series,"148,645"
ShakeItUp,USA,"Short, Comedy",N/A,N/A,N/A,English,movie,N/A
ChrisRyansStrikeBack,UK,"Action, Drama, Thriller",N/A,8.3,45 min,English,series,"18,870"
MrsBrownsBoys,"UK, Ireland",Comedy,01 Jan 2011,7.5,25 min,English,series,"4,978"
AsTimeGoesBy,UK,"Comedy, Romance",12 Jan 1992,8.3,60 min,English,series,"2,485"
JackOfAllTrades,"USA, New Zealand","Adventure, Action, Comedy",17 Jan 2000,7.9,30 min,English,series,"1,998"
HotPotato,Italy,Comedy,16 Nov 1979,6.2,99 min,Italian,movie,328
IClaudius,UK,Documentary,N/A,7.7,75 min,English,movie,27
LaverneAndShirley,USA,N/A,07 May 2002,8.0,60 min,English,movie,12
KamenRiderFourze,Japan,Sci-Fi,04 Sep 2011,7.9,25 min,Japanese,series,102
TheFinder,USA,"Comedy, Crime, Drama",N/A,7.7,44 min,English,series,"11,509"
IDreamOfJeannie,USA,"Comedy, Family, Fantasy",18 Sep 1965,7.5,30 min,English,series,"7,234"
Glee,USA,"Comedy, Drama, Music",19 May 2009,6.8,44 min,English,series,"112,511"
CaptainBluebear,USA,"Short, Musical",N/A,N/A,N/A,English,movie,N/A
MacGyver,"USA, Canada","Action, Adventure, Crime",06 Oct 1985,7.7,48 min,English,series,"24,616"
ThePuzzlePlace,USA,"Family, Fantasy",15 Sep 1994,8.8,30 min,English,series,168
StarTrekVoyager,USA,"Action, Adventure, Sci-Fi",01 Sep 2000,8.2,N/A,English,game,347
PartyDown,USA,Comedy,20 Mar 2009,8.3,30 min,English,series,"22,595"
WasGuckstDu,Germany,Comedy,N/A,4.9,25 min,German,series,171
DrunkenToLoveYou,Taiwan,"Comedy, Drama, Romance",17 Apr 2011,7.3,N/A,Mandarin,series,19
AmericanHorrorStory,USA,"Drama, Horror, Thriller",05 Oct 2011,8.3,60 min,English,series,"167,120"
LivingSingle,USA,Comedy,22 Aug 1993,7.2,30 min,English,series,"2,377"
ShootingStars,France,"Comedy, Sport",24 Apr 2002,4.3,98 min,French,movie,924
Jonas,USA,"Comedy, Family, Music",02 May 2009,4.5,25 min,English,series,"4,707"
HoratioHornblower,UK,"Action, Adventure, Drama",10 Apr 1951,7.5,117 min,"English, French, Spanish",movie,"4,623"
TheManFromUNCLE,"USA, UK","Action, Adventure, Comedy",14 Aug 2015,7.6,116 min,"English, Russian, German, Italian",movie,"22,676"
DrQuinnMedicineWoman,USA,"Drama, Family, Western",01 Jan 1993,6.6,60 min,English,series,"6,688"
StrangersWithCandy,USA,Comedy,21 Jul 2006,6.0,97 min,English,movie,"6,737"
GameOfThrones,USA,"Adventure, Drama, Fantasy",17 Apr 2011,9.5,55 min,English,series,"838,065"
Monopoly,South Korea,"Crime, Mystery, Thriller",01 Jun 2006,5.6,91 min,Korean,movie,163
ElChapulinColorado,Mexico,"Adventure, Comedy, Crime",N/A,8.7,N/A,Spanish,series,"1,490"
Eagleheart,USA,"Action, Comedy",N/A,7.5,N/A,English,series,"1,309"
ThePeoplesCourt,USA,"Crime, Reality-TV",N/A,6.4,60 min,English,series,436
AmericasGotTalent,USA,"Game-Show, Music, Reality-TV",21 Jun 2006,5.5,60 min,English,series,"6,083"
TheOReillyFactor,USA,Talk-Show,07 Oct 1996,3.3,60 min,English,series,"3,089"
RemingtonSteele,USA,"Adventure, Comedy, Crime",01 Oct 1982,7.3,60 min,English,series,"4,437"
DinoGangs,UK,Documentary,N/A,6.0,100 min,English,movie,19
CanadasWorstHandyman,Canada,Reality-TV,13 Mar 2006,7.7,60 min,English,series,72
MayToDecember,UK,Comedy,02 Apr 1989,7.2,30 min,English,series,197
MonarchOfTheGlen,UK,"Comedy, Drama, Romance",01 Jan 2001,7.7,60 min,English,series,"1,739"
WhatILikeAboutYou,USA,"Comedy, Drama",20 Sep 2002,6.6,30 min,English,series,"10,732"
WinterSonata,South Korea,Romance,N/A,8.2,60 min,Korean,series,563
TheHardTimesOfRJBerger,USA,Comedy,06 Jun 2010,7.5,N/A,English,series,"4,968"
TheGreatOutdoors,USA,Comedy,17 Jun 1988,6.6,91 min,English,movie,"25,477"
BlankCheck,USA,"Comedy, Family",11 Feb 1994,5.1,93 min,English,movie,"12,983"
ThirdRockFromTheSun,USA,"Comedy, Sci-Fi",09 Jan 1996,7.8,60 min,English,series,"35,225"
AsTheWorldTurns,USA,"Drama, Romance",02 Apr 1956,6.1,60 min,English,series,"1,377"
MANTIS,UK,"Adventure, Drama, Fantasy",23 Nov 2013,6.7,45 min,English,series,"7,889"
StargateUniverse,"Canada, USA","Drama, Sci-Fi",02 Oct 2009,7.7,43 min,English,series,"35,824"
Sherlock,"UK, USA","Crime, Drama, Mystery",24 Oct 2010,9.3,88 min,English,series,"413,454"
HausmeisterKrause,Germany,Comedy,18 Jan 1999,5.5,25 min,German,series,498
SmartGuy,USA,"Comedy, Drama, Family",02 Apr 1997,7.5,30 min,English,series,"3,177"
YoureSkittingMe,Australia,Comedy,29 Feb 2012,7.4,N/A,N/A,series,71
TheFallAndRiseOfReginaldPerrin,UK,Comedy,08 Sep 1976,8.1,30 min,English,series,918
ParksAndRecreation,USA,Comedy,09 Apr 2009,8.6,22 min,English,series,"96,510"
LawAndOrderLA,USA,Western,13 May 1953,5.8,80 min,English,movie,387
MyFamily,UK,Comedy,19 Sep 2000,7.7,50 min,English,series,"6,203"
TheLegendOfDickAndDom,UK,"Comedy, Drama",02 Jan 2009,7.2,30 min,English,series,98
GoldenPalace,USA,Comedy,18 Sep 1992,7.1,30 min,English,series,528
RaisingHope,USA,"Comedy, Family",01 Sep 2010,8.0,22 min,English,series,"28,828"
TheKingOfQueens,USA,"Comedy, Romance",21 Sep 1998,7.4,22 min,English,series,"55,231"
Girls,USA,"Comedy, Drama",23 Jul 2012,7.4,30 min,English,series,"43,432"
GoodTimes,USA,Comedy,08 Feb 1974,7.3,30 min,English,series,"3,406"
DownWithLove,"USA, Germany","Comedy, Romance",16 May 2003,6.3,101 min,English,movie,"31,672"
TheAdventuresOfShirleyHolmes,Canada,"Mystery, Family",07 May 1997,7.6,24 min,English,series,251
TheDailyShow,Georgia,Talk-Show,18 Aug 2010,9.0,N/A,N/A,series,5
TheAdventuresOfSuperman,USA,Sci-Fi,15 Jul 1948,7.2,244 min,English,movie,538
DragonsDen,UK,Reality-TV,04 Jan 2005,7.5,60 min,English,series,741
TheNamesTheSame,USA,"Family, Game-Show",05 Dec 1951,7.7,30 min,English,series,63
Studio3,USA,"Action, Comedy, Crime",05 Apr 2007,6.4,108 min,English,movie,25
PuppyBowl,USA,Game-Show,04 Feb 2007,8.6,N/A,English,movie,44
TheAdventuresOfLanoAndWoodley,Australia,Comedy,01 Sep 1997,8.9,30 min,English,series,513
Benidorm,UK,Comedy,01 Feb 2007,7.4,30 min,English,series,"1,831"
NecessaryRoughness,USA,"Comedy, Sport",27 Sep 1991,6.0,108 min,English,movie,"7,826"
Alice1976,USA,"Comedy, Fantasy, Romance",10 Jan 1991,6.6,102 min,"English, Cantonese",movie,"9,823"
TheIncreasinglyPoorDecisionsOfToddMargaret,"USA, UK",Comedy,01 Oct 2010,7.7,25 min,English,series,"4,344"
HamishMacbeth,UK,"Comedy, Drama",05 Apr 1998,7.8,60 min,"English, Scottish Gaelic",series,885
CodeNameEternity,"Canada, USA, France","Action, Adventure, Sci-Fi",09 Jan 2004,7.1,N/A,English,series,163
TheMole,USA,"Adventure, Game-Show, Mystery",28 Sep 2001,7.4,60 min,English,series,838
HomeImprovement,USA,"Comedy, Family",17 Sep 1991,7.2,30 min,English,series,"28,030"
KungFu,USA,"Adventure, Drama, Western",14 Oct 1972,7.8,60 min,English,series,"3,363"
CheapSeats,USA,"Short, Comedy",22 Mar 2005,6.4,5 min,English,movie,19
Identity,USA,"Mystery, Thriller",25 Apr 2003,7.3,90 min,English,movie,"164,712"
Benson,USA,"Comedy, Family",13 Sep 1979,7.1,30 min,English,series,"1,738"
DiplomaticImmunity,USA,"Action, Drama",07 Aug 1991,4.4,95 min,English,movie,241
TheNewStatesman,UK,Comedy,13 Sep 1987,7.9,70 min,English,series,"1,481"
TheChasersWarOnEverything,Australia,Comedy,17 Feb 2006,8.8,26 min,English,series,"2,148"
TheWarNextDoor,USA,"Action, Comedy",23 Jul 2000,7.8,30 min,English,series,70
Switch,USA,"Comedy, Fantasy",10 May 1991,5.7,103 min,English,movie,"6,276"
Reaper,"USA, Canada","Adventure, Comedy, Drama",25 Sep 2007,7.9,45 min,English,series,"19,928"
TheATeam,UK,Documentary,31 Jul 2010,N/A,N/A,English,movie,N/A
Bewitched,USA,"Comedy, Fantasy, Romance",24 Jun 2005,4.8,102 min,"English, Spanish",movie,"56,066"
PhoneShop,UK,Comedy,07 Oct 2010,7.8,30 min,English,series,"1,418"
AreYouBeingServed,UK,Comedy,08 Sep 1972,8.1,28 min,English,series,"4,400"
RedCap,UK,"Crime, Drama",07 Jan 2003,7.8,60 min,"English, German",series,171
BreakTheBank1985,USA,Game-Show,12 Apr 1976,N/A,30 min,English,series,N/A
RussianRoulette,"Canada, UK","Crime, Drama, Thriller",20 Aug 1975,5.5,93 min,English,movie,166
JustCause,USA,"Action, Crime, Drama",17 Feb 1995,6.4,102 min,English,movie,"18,440"
FlashGordon,"UK, USA","Action, Adventure, Sci-Fi",05 Dec 1980,6.4,111 min,English,movie,"34,416"
TheSecretCircle,"USA, Canada","Drama, Fantasy, Horror",15 Sep 2011,7.5,45 min,English,series,"36,227"
ColdCase,USA,"Crime, Drama, Mystery",28 Sep 2003,7.6,60 min,English,series,"17,601"
StarTrekTheNextGeneration,USA,"Action, Adventure, Mystery",26 Sep 1987,8.7,44 min,"English, Klingon, French",series,"55,346"
ArabianNights,"Italy, France","Comedy, Drama, Fantasy",20 Jun 1974,6.9,130 min,Italian,movie,"4,548"
Haven,"Canada, USA","Crime, Drama, Fantasy",09 Jul 2010,7.6,60 min,English,series,"25,940"
AnimalArmageddon,USA,"Documentary, Animation, History",01 Mar 2009,7.7,N/A,English,series,130
Crusade,USA,"Action, Drama, Sci-Fi",09 Jun 1999,6.8,44 min,English,series,"3,505"
AdventuresInWonderland,USA,"Comedy, Family, Fantasy",N/A,8.3,30 min,English,series,382
CaitlinsWay,"Canada, USA",N/A,11 Mar 2000,7.8,N/A,English,series,349
SpinCity,USA,Comedy,17 Sep 1996,7.4,30 min,English,series,"20,066"
